frame,bass,low_mid,mid,high_mid,high,beat,energy
226,0.074583,0.023942,0.008539,0.002639,7.5e-05,0.0,0.075917
227,0.081455,0.057924,0.021789,0.001993,0.000129,0.0,0.085445
228,0.078564,0.041398,0.00424,0.001478,8.8e-05,0.0,0.081107
229,0.082353,0.034682,0.011535,0.001707,8.4e-05,0.0,0.084466
230,0.090398,0.03803,0.015253,0.002135,6e-05,0.0,0.092751
231,0.103387,0.041226,0.011621,0.001541,4.7e-05,0.0,0.105829
232,0.10397,0.02677,0.016394,0.001482,5.5e-05,0.0,0.105396
233,0.098668,0.030035,0.007808,0.002055,6.4e-05,0.0,0.100261
234,0.099612,0.023803,0.00817,0.001499,8.8e-05,0.0,0.100738
235,0.108743,0.02908,0.010978,0.001348,6.1e-05,0.0,0.11023
236,0.123417,0.021034,0.006277,0.002043,4.1e-05,0.0,0.124131
237,0.107398,0.024019,0.00643,0.001838,6.2e-05,0.0,0.108459
238,0.097413,0.024038,0.004433,0.003162,5.6e-05,0.0,0.098526
239,0.089545,0.0341,0.005139,0.00228,3.5e-05,0.0,0.091475
240,0.078467,0.019688,0.006985,0.002036,4.1e-05,0.0,0.079433
241,0.08893,0.030676,0.009357,0.002232,5.3e-05,0.0,0.090666
242,0.099819,0.033162,0.007283,0.00209,3.2e-05,0.0,0.101629
243,0.095498,0.019313,0.005059,0.001712,9.3e-05,0.0,0.09628
244,0.110292,0.044419,0.005731,0.002715,8.1e-05,0.0,0.112841
245,0.084804,0.032243,0.015392,0.001599,6.7e-05,0.0,0.08677
246,0.079694,0.068384,0.009182,0.001589,6.9e-05,0.0,0.084305
247,0.101706,0.036554,0.005195,0.001578,4.3e-05,0.0,0.103725
248,0.112307,0.054205,0.004329,0.001708,5.9e-05,0.0,0.115548
249,0.110053,0.045903,0.004553,0.001662,5e-05,0.0,0.112697
250,0.109518,0.044541,0.002336,0.001273,4e-05,0.0,0.112034
251,0.098483,0.070535,0.005514,0.00136,4e-05,0.0,0.10306
252,0.10064,0.076368,0.004958,0.001099,5.2e-05,0.0,0.105627
253,0.100087,0.090061,0.005723,0.001365,4e-05,0.0,0.106108
254,0.101767,0.042702,0.003777,0.000817,4.4e-05,0.0,0.104223
255,0.097703,0.04022,0.007141,0.00074,4.7e-05,0.0,0.10005
256,0.104494,0.08822,0.020136,0.004452,0.000643,0.0,0.110545
257,0.106455,0.115926,0.083206,0.03158,0.004974,0.0,0.115458
258,0.087379,0.126705,0.156547,0.032413,0.005527,0.0,0.098326
259,0.088263,0.115501,0.156536,0.050344,0.00507,0.0,0.098401
260,0.106493,0.083623,0.185517,0.03949,0.004713,0.0,0.114493
261,0.095398,0.117595,0.14844,0.056948,0.004654,0.0,0.105539
262,0.087083,0.056344,0.120449,0.031685,0.00411,0.0,0.092304
263,0.089176,0.041571,0.177395,0.044302,0.005725,0.0,0.094076
264,0.087449,0.045208,0.13792,0.065043,0.00654,0.0,0.092134
265,0.084095,0.069051,0.155075,0.041499,0.00946,0.0,0.090772
266,0.089331,0.080482,0.060452,0.024001,0.007239,0.0,0.095504
267,0.091602,0.124678,0.051647,0.022631,0.001611,0.0,0.100925
268,0.102197,0.089628,0.085476,0.031194,0.003132,0.0,0.109305
